id,income,gender,debt_ratio,all_null_col,approved
cust_66,50000.0,,6.6000000000000005,,1.0
cust_67,50000.0,M,6.7,,0.0
cust_68,50000.0,M,6.800000000000001,,1.0
cust_69,50000.0,,6.9,,0.0
cust_70,,M,7.0,,1.0
cust_71,50000.0,M,7.1000000000000005,,0.0
cust_72,50000.0,,7.2,,1.0
cust_73,50000.0,M,7.300000000000001,,0.0
cust_74,50000.0,M,7.4,,1.0
cust_75,50000.0,,7.5,,0.0
cust_76,50000.0,M,7.6000000000000005,,1.0
cust_77,50000.0,M,7.7,,0.0
cust_78,50000.0,,7.800000000000001,,1.0
cust_79,50000.0,M,7.9,,0.0
cust_80,,M,8.0,,1.0
cust_81,50000.0,,8.1,,0.0
cust_82,50000.0,M,8.200000000000001,,1.0
cust_83,50000.0,M,8.3,,0.0
cust_84,50000.0,,8.4,,1.0
cust_85,50000.0,M,8.5,,0.0
cust_86,50000.0,M,8.6,,1.0
cust_87,50000.0,,8.700000000000001,,0.0
cust_88,50000.0,M,8.8,,1.0
cust_89,50000.0,M,8.9,,0.0
cust_90,,,9.0,,1.0
cust_91,50000.0,M,9.1,,0.0
cust_92,50000.0,M,9.200000000000001,,1.0
cust_93,50000.0,,9.3,,0.0
cust_94,50000.0,M,9.4,,1.0
cust_95,50000.0,M,9.5,,0.0
cust_96,50000.0,,9.600000000000001,,1.0
cust_97,50000.0,M,9.700000000000001,,0.0
cust_98,50000.0,M,9.8,,1.0
cust_99,50000.0,,9.9,,0.0
cust_100,,M,10.0,,1.0
cust_101,50000.0,M,10.100000000000001,,0.0
cust_102,50000.0,,10.200000000000001,,1.0
cust_103,50000.0,M,10.3,,0.0
cust_104,50000.0,M,10.4,,1.0
cust_105,50000.0,,10.5,,0.0
cust_106,50000.0,M,10.600000000000001,,1.0
cust_107,50000.0,M,10.700000000000001,,0.0
cust_108,50000.0,,10.8,,1.0
cust_109,50000.0,M,10.9,,0.0
cust_110,,M,11.0,,1.0
cust_111,50000.0,,11.100000000000001,,0.0
cust_112,50000.0,M,11.200000000000001,,1.0
cust_113,50000.0,M,11.3,,0.0
cust_114,50000.0,,11.4,,1.0
cust_115,50000.0,M,11.5,,0.0
cust_116,50000.0,M,11.600000000000001,,1.0
cust_117,50000.0,,11.700000000000001,,0.0
cust_118,50000.0,M,11.8,,1.0
cust_119,50000.0,M,11.9,,0.0
cust_120,,,12.0,,1.0
cust_121,50000.0,M,12.100000000000001,,0.0
cust_122,50000.0,M,12.200000000000001,,1.0
cust_123,50000.0,,12.3,,0.0
cust_124,50000.0,M,12.4,,1.0
cust_125,50000.0,M,12.5,,0.0
cust_126,50000.0,,12.600000000000001,,1.0
cust_127,50000.0,M,12.700000000000001,,0.0
cust_128,50000.0,M,12.8,,1.0
cust_129,50000.0,,12.9,,0.0
cust_130,,M,13.0,,1.0
cust_131,50000.0,M,13.100000000000001,,0.0
cust_132,50000.0,,13.200000000000001,,1.0
cust_133,50000.0,M,13.3,,0.0
cust_134,50000.0,M,13.4,,1.0
cust_135,50000.0,,13.5,,0.0
cust_136,50000.0,M,13.600000000000001,,1.0
cust_137,50000.0,M,13.700000000000001,,0.0
cust_138,50000.0,,13.8,,1.0
cust_139,50000.0,M,13.9,,0.0
cust_140,,M,14.0,,1.0
cust_141,50000.0,,14.100000000000001,,0.0
cust_142,50000.0,M,14.200000000000001,,1.0
cust_143,50000.0,M,14.3,,0.0
cust_144,50000.0,,14.4,,1.0
cust_145,50000.0,M,14.5,,0.0
cust_146,50000.0,M,14.600000000000001,,1.0
cust_147,50000.0,,14.700000000000001,,0.0
cust_148,50000.0,M,14.8,,1.0
cust_149,50000.0,M,14.9,,0.0
cust_150,,,15.0,,1.0
cust_151,50000.0,M,15.100000000000001,,0.0
cust_152,50000.0,M,15.200000000000001,,1.0
cust_153,50000.0,,15.3,,0.0
cust_154,50000.0,M,15.4,,1.0
cust_155,50000.0,M,15.5,,0.0
cust_156,50000.0,,15.600000000000001,,1.0
cust_157,50000.0,M,15.700000000000001,,0.0
cust_158,50000.0,M,15.8,,1.0
cust_159,50000.0,,15.9,,0.0
cust_160,,M,16.0,,1.0
cust_161,50000.0,M,16.1,,0.0
cust_162,50000.0,,16.2,,1.0
cust_163,50000.0,M,16.3,,0.0
cust_164,50000.0,M,16.400000000000002,,1.0
cust_165,50000.0,,16.5,,0.0
cust_166,50000.0,M,16.6,,1.0
cust_167,50000.0,M,16.7,,0.0
cust_168,50000.0,,16.8,,1.0
cust_169,50000.0,M,16.900000000000002,,0.0
cust_170,,M,17.0,,1.0
cust_171,50000.0,,17.1,,0.0
cust_172,50000.0,M,17.2,,1.0
cust_173,50000.0,M,17.3,,0.0
cust_174,50000.0,,17.400000000000002,,1.0
cust_175,50000.0,M,17.5,,0.0
cust_176,50000.0,M,17.6,,1.0
cust_177,50000.0,,17.7,,0.0
cust_178,50000.0,M,17.8,,1.0
cust_179,50000.0,M,17.900000000000002,,0.0
cust_180,,,18.0,,1.0
cust_181,50000.0,M,18.1,,0.0
cust_182,50000.0,M,18.2,,1.0
cust_183,50000.0,,18.3,,0.0
cust_184,50000.0,M,18.400000000000002,,1.0
cust_185,50000.0,M,18.5,,0.0
cust_186,50000.0,,18.6,,1.0
cust_187,50000.0,M,18.7,,0.0
cust_188,50000.0,M,18.8,,1.0
cust_189,50000.0,,18.900000000000002,,0.0
cust_190,,M,19.0,,1.0
cust_191,50000.0,M,19.1,,0.0
cust_192,50000.0,,19.200000000000003,,1.0
cust_193,50000.0,M,19.3,,0.0
cust_194,50000.0,M,19.400000000000002,,1.0
cust_195,50000.0,,19.5,,0.0
cust_196,50000.0,M,19.6,,1.0
cust_197,50000.0,M,19.700000000000003,,0.0
cust_198,50000.0,,19.8,,1.0
cust_199,50000.0,M,19.900000000000002,,0.0
